lemma,type,constraint_on_parent
dum,temporal,Mood=Ind
ubi,temporal,
antequam,temporal,
prisuquam,temporal,
donec,temporal,
postquam,temporal,
quoad,temporal,
quamdiu,temporal,
ut,temporal,Mood=Ind
cum,temporal,Mood=Ind
quia,causal,Mood=Ind
quod,causal,
quoniam,temporal,Mood=Ind
etsi,concessive,Mood=Ind
tametsi,concessive,
etiamsi,concessive,Mood=Subj
quamquam,concessive,
quamvis,concessive,Mood=Subj
licet,concessive,Mood=Subj
ad,purpose,VerbForm=Part|Aspect=Prosp|Voice=Pass
nisi,conditional,
ni,conditional,
dum,conditional,Mood=Sub
