lemma,type,constraint_on_parent,polarity
dum,temporal,Mood=Ind,
ubi,temporal,,
antequam,temporal,,
prisuquam,temporal,,
donec,temporal,,
postquam,temporal,,
quoad,temporal,,
quamdiu,temporal,,
cum,temporal,Mood=Ind,
quia,cause,,
quod,cause,,
quoniam,cause,Mood=Ind,
etsi,concession,Mood=Ind,
tametsi,concession,,
etiamsi,concession,Mood=Sub,
quamquam,concession,,
quamvis,concession,Mood=Sub,
licet,concession,Mood=Sub,
ad,purpose,VerbForm=Part|Aspect=Prosp|Voice=Pass,
nisi,condition,,
ni,condition,,
dum,condition,Mood=Sub,
si,condition,,
